,formula,convg_bare,tot_E_bare,DE_bare,bare_mag,nsteps_bare,convg_OOH,tot_E_OOH,DE_OOH,OOH_mag,OOH_dmag,nsteps_OOH,convg_O,tot_E_O,DE_O,O_mag,O_dmag,nsteps_O,convg_OH,tot_E_OH,DE_OH,OH_mag,OH_dmag,nsteps_OH
1,SrTcO3,True,-386.8301,0,13.642,1,True,-402.9764,2.136,10.741,-2.902,112,True,-395.0053,-0.727,6.83,-6.812,33,True,-398.7415,-1.077,10.772,-2.871,104
2,BaFeO3,True,-316.788,0,59.992,1,True,-330.4986,4.572,60.985,0.993,84,True,-319.8045,4.432,56.636,-3.356,22,True,-325.8934,1.729,58.79,-1.202,135
3,BaMoO3,True,-359.32,0,24.0,1,True,-374.9285,2.674,23.0,-1.0,59,NaN,NaN,NaN,NaN,NaN,NaN,True,-370.7506,-0.597,23.0,-1.0,74
4,KTaO3,True,-438.3756,0,0.0,1,True,-454.428,2.23,0.989,0.989,122,True,-446.4581,-0.634,1.665,1.665,57,True,-450.5059,-1.296,0.991,0.991,67
5,BaZrO3,True,-438.8283,0,0.0,1,True,-452.7501,4.361,-0.002,-0.002,57,True,-442.1533,4.123,-1.331,-1.331,21,True,-448.6677,0.995,0.216,0.216,112
6,SrFeO3,True,-319.4644,0,53.798,1,True,-333.1514,4.595,54.683,0.884,96,True,-322.3265,4.586,47.49,-6.308,20,True,-328.5673,1.731,53.888,0.09,60
7,KTcO3,True,-365.1872,0,0.0,1,True,-380.584,2.886,-1.053,-1.053,145,True,-372.2093,0.426,0.934,0.934,32,True,-376.2767,-0.255,-0.566,-0.566,102
8,NaTcO3,True,-367.8165,0,0.01,15,True,-383.2948,2.804,-0.345,-0.355,115,True,-374.9835,0.281,1.126,1.116,34,True,-379.0127,-0.362,0.48,0.47,92
9,BaHfO3,True,-459.5911,0,-0.0,1,True,-473.6817,4.192,0.629,0.629,53,True,-463.0364,4.003,1.393,1.393,20,True,-469.5287,0.896,0.002,0.002,100
10,SrTiO3,True,-418.989,0,0.0,1,True,-432.9848,4.287,-0.736,-0.736,70,True,-422.5687,3.869,1.079,1.079,40,True,-428.842,0.981,0.001,0.001,58
